DatasetID,ID,latitude,longitude,CommonName,SpeciesName,TSN,Count,DateTime,UploadDate,ResearchOrganization,Contact,Depth,SST
328,328_68,25.927933,-77.376483,Sperm whale,Physeter macrocephalus,180488,8,2001/03/24 13:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,455,25.575
328,328_80,25.890283,-77.265767,Atlantic spotted dolphin,Stenella frontalis,552460,14,2001/10/06 15:33:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,274,27.675
328,328_98,25.93845,-77.36955,Cuvier's beaked whale,Ziphius cavirostris,180498,2,2002/02/03 10:15:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,309,26.4
328,328_95,25.992733,-77.410867,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,2002/02/03 09:23:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,26.475
328,328_111,25.8894,-77.268767,Blainville's beaked whale,Mesoplodon densirostris,180517,1,2002/08/05 16:34:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,274,25.95
328,328_110,25.882233,-77.278383,Dwarf sperm whale,Kogia sima,180492,1,2002/06/07 12:30:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,308,26.475
328,328_153,25.895883,-77.276283,Blainville's beaked whale,Mesoplodon densirostris,180517,1,2004/06/13 11:52:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,286,26.325
328,328_163,25.946483,-77.40315,Unknown Kogia species,Kogia,180490,1,2005/02/09 14:55:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,39,26.85
328,328_87,25.895133,-77.3814,Risso's dolphin,Grampus griseus,180457,20,2002/01/11 12:35:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,14,26.625
328,328_137,25.982867,-77.436867,Dwarf sperm whale,Kogia sima,180492,1,2003/09/12 19:11:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,509,26.925
328,328_130,25.9622,-77.376917,Sperm whale,Physeter macrocephalus,180488,5,2003/06/22 10:00:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,187,26.925
328,328_109,25.893867,-77.374317,Sperm whale,Physeter macrocephalus,180488,8,2002/06/07 10:05:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,13,26.625
328,328_129,25.91495,-77.3318,Sperm whale,Physeter macrocephalus,180488,3,2003/06/10 17:33:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,494,27
328,328_63,25.9057,-77.328533,Sperm whale,Physeter macrocephalus,180488,6,2001/02/23 14:34:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,745,25.8
328,328_54,25.94545,-77.372233,Sperm whale,Physeter macrocephalus,180488,4,2000/11/18 13:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,112,28.05
328,328_91,25.947883,-77.413133,Sperm whale,Physeter macrocephalus,180488,7,2002/01/20 14:57:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,10,26.55
328,328_1,26.577683,-77.043167,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1997/08/13 13:31:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,6,26.55
328,328_21,26.58915,-77.139333,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,1999/10/01 08:20:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,,28.05
328,328_18,26.608217,-77.099317,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,1999/09/09 11:29:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.05
328,328_27,26.548067,-77.02805,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,1,2000/06/19 11:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,26.55
328,328_42,25.943667,-77.347417,Dwarf sperm whale,Kogia sima,180492,5,2000/08/10 11:09:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,278,28.05
328,328_41,25.933317,-77.348683,Atlantic spotted dolphin,Stenella frontalis,552460,30,2000/08/10 10:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,306,28.05
328,328_47,25.971283,-77.436467,Dwarf sperm whale,Kogia sima,180492,5,2000/08/15 09:43:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,965,26.475
328,328_115,25.931733,-77.349783,Dwarf sperm whale,Kogia sima,180492,5,2002/08/12 11:32:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,306,26.475
328,328_120,25.996117,-77.414133,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,27,2002/08/25 12:25:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,26.475
328,328_142,25.993167,-77.412233,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,8,2004/01/14 11:09:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,27.225
328,328_136,25.9459,-77.44085,Mesoplodon sp.,Mesoplodon,180506,1,2003/09/12 18:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,146,26.625
328,328_151,25.93785,-77.35485,Cuvier's beaked whale,Ziphius cavirostris,180498,2,2004/06/12 17:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,306,26.55
328,328_148,25.97285,-77.439333,Unknown small cetacean,Cetacea,180403,1,2004/05/26 18:57:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,96,26.625
